frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,136.2,23,438,687,,,,,,,,,,,,,,,,55,473,190,,,,,,,,,,,,,,,
1,136.2,20,98,273,,,,,,,,,,,,,,,,50,642,221,,,,,,,,,,,,,,,
2,258.8,37,101,270,,,,,,,,,,,,,,,,60,714,890,,,,,,,,,,,,,,,
3,281.8,16,92,275,,,,,,,,,,,,,,,,44,389,121,,,,,,,,,,,,,,,
4,306.8,30,101,270,,,,,,,,,,,,,,,,51,569,979,,,,,,,,,,,,,,,
5,322.3,,,,,,,,,,13,239,263,,,,,,,,,,,,,,,,14,1086,688,,,,,,
6,334.0,,,,,,,,,,13,239,263,,,,,,,,,,,,,,,,,,,,,,,,
7,345.8,,,,,,,,,,8,245,265,,,,,,,,,,,,,,,,7,1076,683,,,,,,
8,355.6,,,,,,,,,,13,239,263,,,,,,,,,,,,,,,,,,,,,,,,
9,363.6,,,,,,,,,,13,239,264,,,,,,,,,,,,,,,,10,1080,687,,,,,,
10,372.4,,,,,,,,,,14,238,263,,,,,,,12,390,308,,,,,,,14,1085,688,,,,,,
11,380.2,,,,,,,,,,14,238,264,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
12,408.3,,,,,,,,,,13,239,263,,,,,,,12,390,308,,,,,,,14,1085,687,,,,,,
13,440.2,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
14,472.7,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
15,508.2,,,,,,,,,,13,238,264,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
16,540.3,,,,,,,,,,13,238,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
17,572.5,,,,,,,,,,13,238,263,,,,,,,12,390,309,,,,,,,15,1086,688,,,,,,
18,608.4,,,,,,,,,,13,238,263,,,,,,,12,390,308,,,,,,,14,1085,688,,,,,,
19,640.5,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
20,672.7,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
21,708.4,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
22,740.4,,,,,,,,,,13,238,263,,,,,,,12,390,309,,,,,,,15,1086,688,,,,,,
23,773.0,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,15,1086,688,,,,,,
24,808.7,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,15,1086,687,,,,,,
25,853.0,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,15,1086,687,,,,,,
26,883.5,,,,,,,,,,13,239,263,,,,,,,12,389,309,,,,,,,15,1086,688,,,,,,
27,908.5,,,,,,,,,,14,238,264,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
28,940.7,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,15,1086,687,,,,,,
29,973.0,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,15,1086,688,,,,,,
30,1008.4,,,,,,,,,,13,239,264,,,,,,,12,390,308,,,,,,,14,1086,687,,,,,,
31,1040.4,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
32,1074.8,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
33,1114.8,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,15,1086,688,,,,,,
34,1147.1,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
35,1173.2,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,688,,,,,,
36,1208.4,,,,,,,,,,14,239,263,,,,,,,11,390,309,,,,,,,14,1085,688,,,,,,
37,1240.4,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,687,,,,,,
38,1272.3,,,,,,,,,,13,239,263,,,,,,,12,390,308,,,,,,,14,1085,688,,,,,,
39,1308.5,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
40,1340.7,,,,,,,,,,14,239,263,,,,,,,11,390,308,,,,,,,14,1086,688,,,,,,
41,1372.3,,,,,,,,,,13,239,264,,,,,,,12,390,308,,,,,,,14,1085,688,,,,,,
42,1408.4,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
43,1440.5,,,,,,,,,,14,239,263,,,,,,,12,390,308,,,,,,,14,1086,688,,,,,,
44,1472.4,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,688,,,,,,
45,1510.0,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1086,688,,,,,,
46,1543.9,,,,,,,,,,14,239,263,,,,,,,12,390,309,,,,,,,14,1086,688,,,,,,
47,1572.8,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1085,688,,,,,,
48,1608.8,,,,,,,,,,13,239,263,,,,,,,12,389,309,,,,,,,14,1085,688,,,,,,
49,1644.5,,,,,,,,,,14,239,263,,,,,,,12,389,309,,,,,,,14,1086,688,,,,,,
50,1672.8,,,,,,,,,,13,239,263,,,,,,,12,390,309,,,,,,,14,1086,688,,,,,,
51,1708.3,,,,,,,,,,13,239,264,,,,,,,11,390,309,,,,,,,14,1086,688,,,,,,
52,1740.9,,,,,,,,,,14,239,263,,,,,,,12,391,309,,,,,,,14,1086,687,,,,,,
53,1772.9,,,,,,,,,,14,239,263,,,,,,,12,394,311,,,,,,,14,1086,688,,,,,,
54,1808.2,,,,,,,,,,14,239,263,,,,,,,12,400,314,,,,,,,15,1085,688,,,,,,
55,1840.5,,,,,,,,,,13,239,264,,,,,,,11,408,318,,,,,,,14,1086,688,,,,,,
56,1872.3,,,,,,,,,,13,239,264,,,,,,,11,419,324,,,,,,,14,1086,688,,,,,,
57,1908.7,,,,,,,,,,14,239,262,,,,,,,11,432,331,,,,,,,14,1086,688,,,,,,
58,1940.7,,,,,,,,,,13,239,263,,,,,,,11,448,338,,,,,,,14,1086,688,,,,,,
59,1972.8,,,,,,,,,,14,239,264,,,,,,,11,466,348,,,,,,,15,1086,688,,,,,,
60,2008.3,,,,,,,,,,13,239,263,,,,,,,11,486,358,,,,,,,14,1086,688,,,,,,
61,2040.5,,,,,,,,,,14,239,264,,,,,,,11,509,370,,,,,,,14,1086,688,,,,,,
62,2072.3,,,,,,,,,,13,239,263,,,,,,,11,535,384,,,,,,,15,1085,688,,,,,,
63,2108.4,,,,,,,,,,14,239,264,,,,,,,11,562,397,,,,,,,14,1086,688,,,,,,
64,2142.1,,,,,,,,,,13,239,263,,,,,,,11,592,413,,,,,,,14,1086,687,,,,,,
65,2172.6,,,,,,,,,,13,239,263,,,,,,,11,625,429,,,,,,,14,1086,688,,,,,,
66,2208.4,,,,,,,,,,14,239,264,,,,,,,11,659,446,,,,,,,14,1086,688,,,,,,
67,2240.8,,,,,,,,,,13,239,262,,,,,,,11,696,465,,,,,,,14,1086,687,,,,,,
68,2274.1,,,,,,,,,,13,239,263,,,,,,,12,736,484,,,,,,,14,1086,688,,,,,,
69,2309.1,,,,,,,,,,13,239,263,,,,,,,12,777,505,,,,,,,14,1086,688,,,,,,
70,2340.4,,,,,,,,,,13,239,263,,,,,,,12,820,526,,,,,,,14,1086,688,,,,,,
71,2372.4,,,,,,,,,,13,239,262,,,,,,,13,865,548,,,,,,,14,1086,688,,,,,,
72,2408.4,,,,,,,,,,13,239,262,,,,,,,13,911,571,,,,,,,14,1086,688,,,,,,
73,2440.4,,,,,,,,,,13,239,263,,,,,,,12,958,595,,,,,,,14,1086,688,,,,,,
74,2472.4,,,,,,,,,,13,239,263,,,,,,,14,1002,615,,,,,,,14,1086,688,,,,,,
75,2508.4,,,,,,,,,,13,239,262,,,,,,,14,1048,638,,,,,,,14,1086,688,,,,,,
76,2541.1,,,,,,,,,,13,240,262,,,,,,,14,1088,652,,,,,,,15,1086,687,,,,,,
77,2572.8,,,,,,,,,,13,239,262,,,,,,,,,,,,,,,,15,1086,687,,,,,,
78,2608.8,,,,,,,,,,13,240,262,,,,,,,,,,,,,,,,15,1086,687,,,,,,
79,2640.7,,,,,,,,,,13,240,262,,,,,,,,,,,,,,,,14,1086,687,,,,,,
80,2672.6,,,,,,,,,,13,240,262,,,,,,,,,,,,,,,,15,1086,688,,,,,,
81,2709.0,,,,,,,,,,13,240,263,,,,,,,,,,,,,,,,15,1086,688,,,,,,
82,2741.2,,,,,,,,,,13,240,263,,,,,,,,,,,,,,,,15,1086,688,,,,,,
83,2777.7,,,,,,,,,,13,240,262,,,,,,,,,,,,,,,,15,1086,688,,,,,,
