frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.0,48,15,46,,,,,,,,,,,,,,,,56,578,297,,,,,,,,,,,,,,,
1,122.0,48,18,44,,,,,,,,,,,,,,,,50,962,925,,,,,,,,,,,,,,,
2,219.3,41,7,40,,,,,,,,,,,,,,,,40,639,47,,,,,,,,,,,,,,,
3,240.9,27,89,178,,,,,,,,,,,,,,,,54,418,226,,,,,,,,,,,,,,,
4,264.5,37,14,41,,,,,,,,,,,,,,,,56,812,1015,,,,,,,,,,,,,,,
5,284.5,,,,,,,,,,13,317,181,,,,,,,9,394,183,,,,,,,14,1090,685,,,,,,
6,299.7,,,,,,,,,,13,316,181,,,,,,,11,394,178,,,,,,,7,1082,683,,,,,,
7,311.6,,,,,,,,,,13,316,181,,,,,,,12,394,178,,,,,,,,,,,,,,,
8,321.1,,,,,,,,,,14,317,180,,,,,,,12,395,178,,,,,,,13,1090,686,,,,,,
9,331.4,,,,,,,,,,14,317,181,,,,,,,11,395,177,,,,,,,13,1090,686,,,,,,
10,340.1,,,,,,,,,,14,317,179,,,,,,,11,395,178,,,,,,,13,1089,686,,,,,,
11,373.7,,,,,,,,,,14,317,180,,,,,,,12,396,179,,,,,,,13,1090,686,,,,,,
12,405.9,,,,,,,,,,14,317,181,,,,,,,11,398,179,,,,,,,14,1090,686,,,,,,
13,437.8,,,,,,,,,,14,317,180,,,,,,,11,398,180,,,,,,,13,1090,686,,,,,,
14,473.9,,,,,,,,,,14,317,180,,,,,,,11,399,180,,,,,,,13,1090,686,,,,,,
15,506.4,,,,,,,,,,14,317,180,,,,,,,11,399,181,,,,,,,13,1090,686,,,,,,
16,548.8,,,,,,,,,,14,317,180,,,,,,,11,399,180,,,,,,,13,1090,686,,,,,,
17,574.1,,,,,,,,,,14,317,180,,,,,,,12,399,180,,,,,,,13,1090,686,,,,,,
18,606.0,,,,,,,,,,14,317,180,,,,,,,11,399,181,,,,,,,13,1090,686,,,,,,
19,638.8,,,,,,,,,,14,317,180,,,,,,,11,399,180,,,,,,,14,1090,686,,,,,,
20,670.5,,,,,,,,,,14,317,180,,,,,,,11,398,179,,,,,,,14,1090,686,,,,,,
21,706.2,,,,,,,,,,15,317,180,,,,,,,9,399,181,,,,,,,13,1090,686,,,,,,
22,739.6,,,,,,,,,,14,317,180,,,,,,,11,398,178,,,,,,,13,1090,686,,,,,,
23,770.5,,,,,,,,,,14,317,181,,,,,,,11,399,178,,,,,,,13,1090,686,,,,,,
24,806.1,,,,,,,,,,14,317,180,,,,,,,11,401,180,,,,,,,13,1090,686,,,,,,
25,838.4,,,,,,,,,,14,317,181,,,,,,,12,402,181,,,,,,,13,1090,686,,,,,,
26,870.6,,,,,,,,,,14,317,181,,,,,,,11,403,181,,,,,,,14,1090,686,,,,,,
27,906.2,,,,,,,,,,14,318,180,,,,,,,11,402,180,,,,,,,13,1090,686,,,,,,
28,938.9,,,,,,,,,,14,317,180,,,,,,,11,402,180,,,,,,,14,1091,686,,,,,,
