frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.5,14,146,99,,,,,,,,,,,,,,,,62,302,932,,,,,,,,,,,,,,,
1,129.5,10,162,295,,,,,,,,,,,,,,,,48,429,200,,,,,,,,,,,,,,,
2,237.2,10,1051,134,,,,,,,,,,,,,,,,37,1001,894,,,,,,,,,,,,,,,
3,260.0,,,,,,,,,,,,,,,,,,,44,119,362,,,,,,,,,,,,,,,
4,276.4,27,53,381,,,,,,,,,,,,,,,,57,444,116,,,,,,,,,,,,,,,
5,288.8,,,,,,,,,,14,160,450,,,,,,,,,,,,,,,,14,1085,685,,,,,,
6,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1078,687,,,,,,
8,326.8,,,,,,,,,,14,160,450,,,,,,,,,,,,,,,,,,,,,,,,
9,335.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1084,686,,,,,,
10,346.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
11,381.7,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
12,413.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
13,447.6,,,,,,,,,,15,160,450,,,,,,,12,225,437,,,,,,,14,1084,685,,,,,,
14,481.8,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
15,514.1,,,,,,,,,,15,160,449,,,,,,,13,225,437,,,,,,,14,1085,685,,,,,,
16,545.8,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
17,581.8,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
18,613.9,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
19,646.3,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
20,682.2,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
21,714.2,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1084,685,,,,,,
22,750.6,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
23,782.1,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1084,685,,,,,,
24,814.3,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
25,859.0,,,,,,,,,,14,160,450,,,,,,,13,225,436,,,,,,,14,1084,685,,,,,,
26,882.1,,,,,,,,,,15,160,449,,,,,,,12,225,437,,,,,,,15,1085,686,,,,,,
27,914.5,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
28,946.6,,,,,,,,,,14,160,449,,,,,,,12,225,437,,,,,,,14,1085,685,,,,,,
29,982.0,,,,,,,,,,15,160,449,,,,,,,12,225,437,,,,,,,15,1085,686,,,,,,
30,1014.2,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
31,1046.1,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
32,1081.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
33,1114.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
34,1146.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
35,1182.1,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
36,1214.3,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
37,1246.0,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
38,1281.6,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
39,1313.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
40,1346.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
41,1381.6,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
42,1413.7,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
43,1446.0,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
44,1482.0,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
45,1513.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
46,1546.3,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1084,686,,,,,,
47,1582.1,,,,,,,,,,15,160,449,,,,,,,12,225,437,,,,,,,14,1084,685,,,,,,
48,1614.2,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
49,1646.1,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
50,1681.7,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1084,686,,,,,,
51,1713.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
52,1746.1,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,15,1084,686,,,,,,
53,1781.7,,,,,,,,,,14,160,449,,,,,,,12,225,437,,,,,,,15,1085,686,,,,,,
54,1814.1,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
55,1846.2,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,15,1084,686,,,,,,
56,1882.2,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
57,1917.2,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
58,1946.4,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,14,1084,685,,,,,,
59,1981.9,,,,,,,,,,14,160,449,,,,,,,12,225,437,,,,,,,15,1084,686,,,,,,
60,2014.9,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
61,2046.4,,,,,,,,,,15,160,450,,,,,,,12,225,436,,,,,,,14,1084,685,,,,,,
62,2082.1,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,14,1085,685,,,,,,
63,2113.8,,,,,,,,,,14,160,450,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
64,2146.3,,,,,,,,,,14,160,449,,,,,,,12,225,437,,,,,,,14,1084,685,,,,,,
65,2182.0,,,,,,,,,,14,160,449,,,,,,,12,225,437,,,,,,,14,1084,685,,,,,,
66,2213.9,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
67,2246.2,,,,,,,,,,15,160,448,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
68,2281.9,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
69,2314.0,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
70,2346.2,,,,,,,,,,14,160,449,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
71,2382.0,,,,,,,,,,15,160,448,,,,,,,12,225,436,,,,,,,14,1085,686,,,,,,
72,2414.0,,,,,,,,,,15,160,449,,,,,,,12,225,436,,,,,,,15,1085,685,,,,,,
73,2446.0,,,,,,,,,,14,160,449,,,,,,,12,224,436,,,,,,,15,1085,685,,,,,,
74,2481.8,,,,,,,,,,14,160,448,,,,,,,12,224,436,,,,,,,15,1085,685,,,,,,
75,2514.1,,,,,,,,,,14,160,448,,,,,,,12,224,436,,,,,,,15,1085,686,,,,,,
76,2549.9,,,,,,,,,,14,160,448,,,,,,,12,225,436,,,,,,,15,1085,686,,,,,,
77,2585.9,,,,,,,,,,14,160,448,,,,,,,12,227,436,,,,,,,14,1085,686,,,,,,
78,2614.1,,,,,,,,,,14,160,449,,,,,,,11,231,437,,,,,,,14,1085,686,,,,,,
79,2646.1,,,,,,,,,,14,160,449,,,,,,,11,235,438,,,,,,,14,1085,685,,,,,,
80,2682.0,,,,,,,,,,14,160,448,,,,,,,11,240,440,,,,,,,15,1085,685,,,,,,
81,2714.1,,,,,,,,,,14,160,448,,,,,,,11,245,441,,,,,,,15,1085,686,,,,,,
82,2746.6,,,,,,,,,,14,160,448,,,,,,,11,251,442,,,,,,,14,1085,686,,,,,,
83,2782.4,,,,,,,,,,14,160,448,,,,,,,11,257,444,,,,,,,14,1085,685,,,,,,
84,2814.5,,,,,,,,,,14,160,449,,,,,,,11,263,446,,,,,,,14,1085,685,,,,,,
85,2846.6,,,,,,,,,,14,160,449,,,,,,,11,271,448,,,,,,,14,1085,686,,,,,,
86,2882.1,,,,,,,,,,14,160,449,,,,,,,11,279,450,,,,,,,14,1085,686,,,,,,
87,2914.0,,,,,,,,,,14,160,449,,,,,,,11,287,452,,,,,,,14,1084,685,,,,,,
88,2945.9,,,,,,,,,,14,159,448,,,,,,,11,296,455,,,,,,,14,1084,685,,,,,,
89,2981.7,,,,,,,,,,14,160,449,,,,,,,11,305,457,,,,,,,14,1085,685,,,,,,
90,3014.8,,,,,,,,,,14,159,448,,,,,,,11,315,459,,,,,,,15,1085,686,,,,,,
91,3046.2,,,,,,,,,,14,160,449,,,,,,,11,325,462,,,,,,,14,1085,685,,,,,,
92,3082.0,,,,,,,,,,14,160,449,,,,,,,11,335,464,,,,,,,14,1085,685,,,,,,
93,3114.0,,,,,,,,,,14,160,449,,,,,,,11,346,468,,,,,,,14,1084,685,,,,,,
94,3146.2,,,,,,,,,,14,160,449,,,,,,,11,357,470,,,,,,,14,1085,685,,,,,,
95,3181.7,,,,,,,,,,14,160,449,,,,,,,11,368,473,,,,,,,15,1085,685,,,,,,
96,3213.8,,,,,,,,,,14,160,449,,,,,,,11,380,476,,,,,,,14,1085,686,,,,,,
97,3246.0,,,,,,,,,,14,160,449,,,,,,,11,392,479,,,,,,,14,1085,686,,,,,,
98,3282.2,,,,,,,,,,14,160,449,,,,,,,11,404,482,,,,,,,14,1085,686,,,,,,
99,3314.0,,,,,,,,,,14,160,449,,,,,,,11,417,486,,,,,,,15,1085,686,,,,,,
100,3348.1,,,,,,,,,,14,160,449,,,,,,,11,430,490,,,,,,,14,1085,686,,,,,,
101,3382.3,,,,,,,,,,14,160,449,,,,,,,11,443,493,,,,,,,15,1085,686,,,,,,
102,3414.4,,,,,,,,,,14,160,449,,,,,,,11,456,496,,,,,,,15,1085,686,,,,,,
103,3449.5,,,,,,,,,,14,160,449,,,,,,,11,470,500,,,,,,,15,1085,686,,,,,,
104,3482.0,,,,,,,,,,14,160,449,,,,,,,11,483,503,,,,,,,15,1085,686,,,,,,
105,3513.8,,,,,,,,,,14,159,449,,,,,,,11,496,507,,,,,,,14,1085,686,,,,,,
106,3546.3,,,,,,,,,,14,159,448,,,,,,,11,510,510,,,,,,,15,1085,686,,,,,,
107,3581.7,,,,,,,,,,14,160,449,,,,,,,11,523,513,,,,,,,15,1085,686,,,,,,
108,3614.0,,,,,,,,,,14,160,449,,,,,,,11,537,518,,,,,,,14,1085,685,,,,,,
109,3646.3,,,,,,,,,,14,160,449,,,,,,,11,550,521,,,,,,,14,1085,686,,,,,,
110,3681.7,,,,,,,,,,14,160,449,,,,,,,11,564,524,,,,,,,14,1085,686,,,,,,
111,3714.0,,,,,,,,,,14,160,449,,,,,,,11,577,527,,,,,,,15,1085,686,,,,,,
112,3747.6,,,,,,,,,,14,160,449,,,,,,,11,591,531,,,,,,,15,1085,686,,,,,,
113,3784.0,,,,,,,,,,14,160,449,,,,,,,11,605,535,,,,,,,14,1085,685,,,,,,
114,3814.0,,,,,,,,,,14,160,449,,,,,,,10,620,539,,,,,,,14,1085,686,,,,,,
115,3847.0,,,,,,,,,,14,160,448,,,,,,,11,634,542,,,,,,,14,1085,685,,,,,,
116,3882.0,,,,,,,,,,14,160,448,,,,,,,11,649,546,,,,,,,14,1085,685,,,,,,
117,3915.3,,,,,,,,,,14,160,449,,,,,,,11,664,550,,,,,,,15,1085,686,,,,,,
118,3946.0,,,,,,,,,,14,160,449,,,,,,,11,678,553,,,,,,,14,1085,686,,,,,,
119,3982.2,,,,,,,,,,14,160,449,,,,,,,11,693,557,,,,,,,15,1085,686,,,,,,
120,4016.5,,,,,,,,,,14,160,449,,,,,,,11,708,561,,,,,,,15,1085,686,,,,,,
121,4048.5,,,,,,,,,,14,160,449,,,,,,,11,723,565,,,,,,,14,1085,685,,,,,,
122,4087.7,,,,,,,,,,14,160,449,,,,,,,11,738,569,,,,,,,14,1085,686,,,,,,
123,4114.0,,,,,,,,,,14,160,449,,,,,,,11,754,574,,,,,,,15,1085,686,,,,,,
124,4146.1,,,,,,,,,,14,160,449,,,,,,,11,769,577,,,,,,,14,1085,685,,,,,,
125,4190.2,,,,,,,,,,14,160,449,,,,,,,11,784,581,,,,,,,15,1085,686,,,,,,
126,4215.5,,,,,,,,,,14,160,449,,,,,,,12,800,584,,,,,,,14,1085,686,,,,,,
127,4246.1,,,,,,,,,,14,160,449,,,,,,,12,814,588,,,,,,,15,1085,685,,,,,,
128,4281.8,,,,,,,,,,14,160,449,,,,,,,12,830,592,,,,,,,14,1084,685,,,,,,
129,4314.2,,,,,,,,,,14,160,449,,,,,,,12,846,596,,,,,,,14,1085,686,,,,,,
130,4346.4,,,,,,,,,,14,160,449,,,,,,,12,861,600,,,,,,,14,1085,685,,,,,,
131,4382.0,,,,,,,,,,14,160,449,,,,,,,12,877,604,,,,,,,14,1085,686,,,,,,
132,4414.0,,,,,,,,,,14,160,449,,,,,,,13,892,608,,,,,,,14,1085,686,,,,,,
133,4446.1,,,,,,,,,,14,160,449,,,,,,,13,908,612,,,,,,,14,1085,685,,,,,,
134,4482.3,,,,,,,,,,14,160,449,,,,,,,13,924,615,,,,,,,14,1085,686,,,,,,
135,4514.0,,,,,,,,,,14,160,449,,,,,,,13,939,620,,,,,,,14,1085,685,,,,,,
136,4546.1,,,,,,,,,,14,160,449,,,,,,,13,955,623,,,,,,,14,1084,685,,,,,,
137,4582.0,,,,,,,,,,14,160,449,,,,,,,13,970,628,,,,,,,14,1085,685,,,,,,
138,4614.1,,,,,,,,,,14,160,449,,,,,,,13,985,631,,,,,,,14,1085,686,,,,,,
139,4646.9,,,,,,,,,,14,159,448,,,,,,,13,1001,635,,,,,,,14,1085,685,,,,,,
140,4682.1,,,,,,,,,,14,159,448,,,,,,,13,1017,638,,,,,,,14,1085,685,,,,,,
141,4714.4,,,,,,,,,,14,160,448,,,,,,,13,1032,642,,,,,,,14,1085,685,,,,,,
142,4746.1,,,,,,,,,,14,159,448,,,,,,,13,1048,646,,,,,,,15,1085,686,,,,,,
143,4782.4,,,,,,,,,,14,160,449,,,,,,,13,1064,651,,,,,,,15,1085,685,,,,,,
