frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,146.8,40,31,26,,,,,,,,,,,,,,,,62,268,891,,,,,,,,,,,,,,,
1,146.8,32,14,29,,,,,,,,,,,,,,,,59,1032,803,,,,,,,,,,,,,,,
2,255.3,35,16,31,,,,,,,,,,,,,,,,58,766,921,,,,,,,,,,,,,,,
3,277.4,22,119,204,,,,,,,,,,,,,,,,61,1054,559,,,,,,,,,,,,,,,
4,297.0,22,12,19,,,,,,,,,,,,,,,,56,440,121,,,,,,,,,,,,,,,
5,308.6,,,,,,,,,,14,119,433,,,,,,,,,,,,,,,,14,1019,674,,,,,,
6,327.1,,,,,,,,,,11,116,433,,,,,,,,,,,,,,,,,,,,,,,,
7,335.5,,,,,,,,,,14,118,431,,,,,,,,,,,,,,,,,,,,,,,,
8,344.3,,,,,,,,,,10,126,429,,,,,,,,,,,,,,,,,,,,,,,,
9,353.2,,,,,,,,,,15,119,433,,,,,,,14,263,441,,,,,,,15,1019,675,,,,,,
10,361.2,,,,,,,,,,15,119,432,,,,,,,13,264,441,,,,,,,14,1019,674,,,,,,
11,381.6,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
12,413.8,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
13,446.0,,,,,,,,,,15,119,432,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
14,482.3,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
15,520.8,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
16,547.2,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
17,582.1,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
18,613.9,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
19,646.0,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
20,681.9,,,,,,,,,,15,119,434,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
21,713.9,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
22,746.9,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
23,781.8,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,675,,,,,,
24,813.8,,,,,,,,,,15,119,433,,,,,,,13,264,441,,,,,,,15,1019,676,,,,,,
