frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,108.7,22,25,11,,,,,,,,,,,,,,,,61,1082,757,,,,,,,,,,,,,,,
1,108.7,22,25,11,,,,,,,,,,,,,,,,57,192,777,,,,,,,,,,,,,,,
2,216.6,20,22,10,,,,,,,,,,,,,,,,38,1069,645,,,,,,,,,,,,,,,
3,237.3,22,26,10,,,,,,,,,,,,,,,,59,443,117,,,,,,,,,,,,,,,
4,255.5,,,,,,,,,,14,119,435,,,,,,,9,292,424,,,,,,,14,1062,688,,,,,,
5,264.1,,,,,,,,,,12,115,439,,,,,,,,,,,,,,,,,,,,,,,,
6,273.2,,,,,,,,,,7,119,445,,,,,,,7,298,431,,,,,,,,,,,,,,,
8,310.4,,,,,,,,,,15,119,435,,,,,,,13,297,426,,,,,,,14,1062,688,,,,,,
9,324.7,,,,,,,,,,14,119,435,,,,,,,13,297,425,,,,,,,14,1062,688,,,,,,
10,345.7,,,,,,,,,,15,119,435,,,,,,,13,297,425,,,,,,,14,1061,688,,,,,,
11,378.4,,,,,,,,,,15,119,435,,,,,,,13,297,424,,,,,,,14,1062,688,,,,,,
12,409.8,,,,,,,,,,15,119,436,,,,,,,13,297,425,,,,,,,14,1061,688,,,,,,
13,445.8,,,,,,,,,,15,119,436,,,,,,,13,297,425,,,,,,,14,1062,688,,,,,,
14,478.0,,,,,,,,,,15,119,436,,,,,,,13,297,425,,,,,,,14,1062,688,,,,,,
15,509.9,,,,,,,,,,15,119,435,,,,,,,13,297,425,,,,,,,14,1061,689,,,,,,
16,546.1,,,,,,,,,,15,119,435,,,,,,,13,297,425,,,,,,,14,1062,688,,,,,,
17,578.1,,,,,,,,,,15,119,435,,,,,,,13,297,425,,,,,,,14,1062,688,,,,,,
18,610.1,,,,,,,,,,15,119,434,,,,,,,13,297,425,,,,,,,14,1061,688,,,,,,
19,646.2,,,,,,,,,,15,119,435,,,,,,,13,298,425,,,,,,,14,1062,688,,,,,,
20,678.1,,,,,,,,,,15,120,435,,,,,,,13,298,424,,,,,,,14,1062,688,,,,,,
21,710.9,,,,,,,,,,15,120,435,,,,,,,13,297,424,,,,,,,14,1062,688,,,,,,
22,746.8,,,,,,,,,,15,120,435,,,,,,,13,298,424,,,,,,,14,1062,688,,,,,,
23,779.8,,,,,,,,,,15,120,434,,,,,,,13,298,424,,,,,,,14,1062,688,,,,,,
24,811.5,,,,,,,,,,15,120,435,,,,,,,13,298,424,,,,,,,14,1061,688,,,,,,
25,846.1,,,,,,,,,,15,120,435,,,,,,,13,298,424,,,,,,,14,1062,688,,,,,,
26,878.1,,,,,,,,,,15,120,434,,,,,,,13,298,424,,,,,,,14,1062,688,,,,,,
27,910.3,,,,,,,,,,15,120,433,,,,,,,13,298,423,,,,,,,14,1062,688,,,,,,
28,946.1,,,,,,,,,,15,120,433,,,,,,,13,298,423,,,,,,,14,1062,688,,,,,,
29,978.1,,,,,,,,,,15,120,433,,,,,,,13,299,423,,,,,,,14,1062,688,,,,,,
30,1029.8,,,,,,,,,,15,121,432,,,,,,,13,299,422,,,,,,,14,1062,688,,,,,,
31,1051.5,,,,,,,,,,15,120,431,,,,,,,12,299,422,,,,,,,14,1062,688,,,,,,
32,1090.1,,,,,,,,,,15,121,432,,,,,,,13,299,421,,,,,,,14,1062,688,,,,,,
33,1111.4,,,,,,,,,,15,121,431,,,,,,,13,299,421,,,,,,,14,1062,688,,,,,,
34,1151.5,,,,,,,,,,15,121,432,,,,,,,13,299,422,,,,,,,14,1062,688,,,,,,
35,1186.0,,,,,,,,,,15,121,431,,,,,,,13,299,422,,,,,,,14,1062,688,,,,,,
36,1220.2,,,,,,,,,,15,121,431,,,,,,,13,299,422,,,,,,,14,1062,688,,,,,,
37,1246.2,,,,,,,,,,15,121,431,,,,,,,13,299,422,,,,,,,14,1062,688,,,,,,
38,1281.4,,,,,,,,,,15,121,430,,,,,,,12,299,421,,,,,,,14,1061,688,,,,,,
39,1310.8,,,,,,,,,,15,121,430,,,,,,,13,299,421,,,,,,,14,1062,688,,,,,,
40,1346.0,,,,,,,,,,15,121,429,,,,,,,13,299,420,,,,,,,14,1062,688,,,,,,
41,1378.0,,,,,,,,,,15,121,429,,,,,,,13,299,420,,,,,,,14,1062,688,,,,,,
42,1410.2,,,,,,,,,,15,122,428,,,,,,,13,300,419,,,,,,,14,1062,688,,,,,,
43,1446.2,,,,,,,,,,15,122,429,,,,,,,13,300,419,,,,,,,14,1062,688,,,,,,
44,1478.4,,,,,,,,,,15,122,428,,,,,,,13,300,419,,,,,,,14,1062,688,,,,,,
45,1510.6,,,,,,,,,,15,122,428,,,,,,,13,300,419,,,,,,,14,1062,688,,,,,,
46,1546.1,,,,,,,,,,15,122,427,,,,,,,13,300,419,,,,,,,14,1062,688,,,,,,
47,1578.4,,,,,,,,,,15,122,427,,,,,,,13,300,418,,,,,,,14,1062,687,,,,,,
48,1610.2,,,,,,,,,,15,123,426,,,,,,,13,300,418,,,,,,,14,1062,688,,,,,,
49,1646.1,,,,,,,,,,15,122,427,,,,,,,12,301,417,,,,,,,14,1062,688,,,,,,
50,1678.9,,,,,,,,,,15,123,426,,,,,,,13,300,417,,,,,,,14,1062,688,,,,,,
51,1710.2,,,,,,,,,,15,123,426,,,,,,,13,301,418,,,,,,,14,1062,688,,,,,,
52,1746.1,,,,,,,,,,15,123,425,,,,,,,12,301,417,,,,,,,14,1062,688,,,,,,
53,1778.0,,,,,,,,,,15,123,425,,,,,,,12,301,417,,,,,,,14,1062,688,,,,,,
54,1810.3,,,,,,,,,,14,123,425,,,,,,,12,301,417,,,,,,,14,1062,688,,,,,,
55,1847.5,,,,,,,,,,15,123,425,,,,,,,13,301,417,,,,,,,14,1062,687,,,,,,
56,1878.0,,,,,,,,,,15,123,424,,,,,,,12,301,417,,,,,,,14,1062,688,,,,,,
57,1910.3,,,,,,,,,,15,123,424,,,,,,,13,301,417,,,,,,,14,1062,687,,,,,,
58,1946.2,,,,,,,,,,15,124,424,,,,,,,12,301,416,,,,,,,14,1062,688,,,,,,
59,1978.1,,,,,,,,,,15,123,424,,,,,,,12,301,416,,,,,,,14,1062,687,,,,,,
60,2010.3,,,,,,,,,,14,123,424,,,,,,,12,301,416,,,,,,,14,1062,687,,,,,,
61,2046.4,,,,,,,,,,15,124,424,,,,,,,13,301,416,,,,,,,14,1062,688,,,,,,
62,2078.1,,,,,,,,,,15,124,424,,,,,,,12,301,416,,,,,,,14,1062,688,,,,,,
63,2110.5,,,,,,,,,,15,124,423,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
64,2146.8,,,,,,,,,,15,124,423,,,,,,,12,301,415,,,,,,,14,1062,688,,,,,,
65,2178.6,,,,,,,,,,15,124,422,,,,,,,13,302,416,,,,,,,14,1062,687,,,,,,
66,2212.0,,,,,,,,,,15,124,422,,,,,,,13,302,416,,,,,,,14,1062,687,,,,,,
67,2246.2,,,,,,,,,,15,124,422,,,,,,,12,302,416,,,,,,,14,1062,688,,,,,,
68,2278.2,,,,,,,,,,15,124,423,,,,,,,12,302,416,,,,,,,14,1062,688,,,,,,
69,2310.3,,,,,,,,,,15,124,423,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
70,2346.4,,,,,,,,,,15,124,422,,,,,,,12,302,416,,,,,,,14,1062,688,,,,,,
71,2378.8,,,,,,,,,,15,124,422,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
72,2410.6,,,,,,,,,,15,124,422,,,,,,,12,302,415,,,,,,,14,1062,687,,,,,,
73,2446.1,,,,,,,,,,15,124,422,,,,,,,12,302,415,,,,,,,14,1062,687,,,,,,
74,2478.1,,,,,,,,,,15,124,421,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
75,2510.2,,,,,,,,,,14,124,423,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
76,2545.9,,,,,,,,,,15,124,422,,,,,,,12,302,416,,,,,,,14,1062,688,,,,,,
77,2578.0,,,,,,,,,,15,124,422,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
78,2610.4,,,,,,,,,,15,124,421,,,,,,,12,302,415,,,,,,,14,1062,687,,,,,,
79,2646.3,,,,,,,,,,15,124,421,,,,,,,12,302,415,,,,,,,14,1062,688,,,,,,
80,2678.4,,,,,,,,,,15,124,421,,,,,,,12,302,414,,,,,,,14,1062,688,,,,,,
81,2710.3,,,,,,,,,,15,124,420,,,,,,,12,302,414,,,,,,,14,1062,688,,,,,,
82,2746.4,,,,,,,,,,15,124,420,,,,,,,12,302,414,,,,,,,14,1062,687,,,,,,
83,2778.4,,,,,,,,,,14,124,421,,,,,,,13,302,414,,,,,,,14,1062,688,,,,,,
84,2810.4,,,,,,,,,,15,124,420,,,,,,,12,302,414,,,,,,,14,1062,687,,,,,,
85,2846.0,,,,,,,,,,15,125,420,,,,,,,12,303,414,,,,,,,14,1063,687,,,,,,
86,2878.3,,,,,,,,,,15,125,420,,,,,,,13,302,414,,,,,,,14,1062,688,,,,,,
87,2910.4,,,,,,,,,,14,125,420,,,,,,,12,303,414,,,,,,,14,1062,688,,,,,,
88,2946.0,,,,,,,,,,15,125,421,,,,,,,12,302,414,,,,,,,14,1062,688,,,,,,
89,2978.5,,,,,,,,,,15,125,420,,,,,,,12,303,414,,,,,,,14,1063,688,,,,,,
90,3012.5,,,,,,,,,,15,125,419,,,,,,,12,303,413,,,,,,,14,1062,688,,,,,,
91,3046.2,,,,,,,,,,14,125,419,,,,,,,12,303,413,,,,,,,14,1062,687,,,,,,
92,3078.4,,,,,,,,,,15,125,419,,,,,,,13,303,413,,,,,,,14,1062,687,,,,,,
93,3110.2,,,,,,,,,,14,126,419,,,,,,,12,303,412,,,,,,,14,1062,688,,,,,,
94,3146.3,,,,,,,,,,15,126,419,,,,,,,12,303,412,,,,,,,14,1062,688,,,,,,
95,3178.2,,,,,,,,,,15,125,418,,,,,,,12,303,412,,,,,,,14,1062,688,,,,,,
96,3210.0,,,,,,,,,,14,125,418,,,,,,,12,303,412,,,,,,,14,1062,688,,,,,,
97,3246.0,,,,,,,,,,15,126,418,,,,,,,12,304,412,,,,,,,14,1062,688,,,,,,
98,3278.2,,,,,,,,,,15,126,417,,,,,,,13,304,412,,,,,,,14,1062,687,,,,,,
99,3310.9,,,,,,,,,,15,126,417,,,,,,,12,304,412,,,,,,,14,1062,687,,,,,,
100,3346.8,,,,,,,,,,15,127,416,,,,,,,12,304,411,,,,,,,14,1063,687,,,,,,
101,3378.7,,,,,,,,,,15,127,415,,,,,,,12,304,410,,,,,,,14,1062,688,,,,,,
