frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,140.6,31,21,49,,,,,,,,,,,,,,,,65,676,926,,,,,,,,,,,,,,,
1,140.6,28,20,54,,,,,,,,,,,,,,,,51,475,918,,,,,,,,,,,,,,,
2,238.8,21,14,55,,,,,,,,,,,,,,,,49,1013,871,,,,,,,,,,,,,,,
3,260.5,12,74,381,,,,,,,,,,,,,,,,16,192,15,,,,,,,,,,,,,,,
4,280.3,19,57,371,,,,,,,,,,,,,,,,59,203,40,,,,,,,,,,,,,,,
5,293.4,,,,,,,,,,13,95,574,,,,,,,,,,,,,,,,15,1058,688,,,,,,
6,314.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1058,688,,,,,,
7,325.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1058,688,,,,,,
8,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1060,687,,,,,,
9,345.3,,,,,,,,,,14,95,575,,,,,,,13,247,562,,,,,,,14,1057,688,,,,,,
10,353.3,,,,,,,,,,14,95,575,,,,,,,13,247,562,,,,,,,14,1058,688,,,,,,
11,377.7,,,,,,,,,,14,95,575,,,,,,,13,246,561,,,,,,,14,1058,688,,,,,,
12,409.8,,,,,,,,,,14,94,575,,,,,,,13,247,561,,,,,,,14,1058,689,,,,,,
13,441.9,,,,,,,,,,14,95,575,,,,,,,13,247,562,,,,,,,14,1058,688,,,,,,
14,477.7,,,,,,,,,,14,95,575,,,,,,,13,247,562,,,,,,,15,1058,688,,,,,,
15,509.8,,,,,,,,,,14,95,575,,,,,,,13,247,561,,,,,,,14,1058,688,,,,,,
16,542.0,,,,,,,,,,14,95,575,,,,,,,13,247,562,,,,,,,15,1058,688,,,,,,
17,578.1,,,,,,,,,,14,95,575,,,,,,,13,247,561,,,,,,,14,1058,689,,,,,,
18,609.8,,,,,,,,,,14,95,575,,,,,,,13,247,561,,,,,,,14,1057,688,,,,,,
19,642.0,,,,,,,,,,14,95,575,,,,,,,13,246,561,,,,,,,14,1058,689,,,,,,
20,677.8,,,,,,,,,,14,95,575,,,,,,,13,246,562,,,,,,,15,1058,689,,,,,,
21,709.9,,,,,,,,,,14,95,575,,,,,,,13,246,561,,,,,,,14,1058,688,,,,,,
22,742.1,,,,,,,,,,14,95,575,,,,,,,13,247,561,,,,,,,14,1058,688,,,,,,
