time_num10.csv,num10.csv,time_num11.csv,num11.csv,time_num3.csv,num3.csv,time_num4.csv,num4.csv,time_num6.csv,num6.csv,time_num7.csv,num7.csv,time_num8.csv,num8.csv,time_num9.csv,num9.csv
4546.6,200,3343.4,442,3182,472,4181.1,153,6313.6,376,3714,186,3611.8,151,3279.2,336
4583,200,3375.5,442,3214.3,473,4213.2,153,6349.4,376,3747.6,186,3643.7,151,3311.6,336
4615.7,202,3412.1,442,3250.1,473,4245.3,154,6381.7,376,3781.4,187,3677.1,152,3343.4,336
4649.5,204,3444.2,443,3282.5,474,4280.3,156,6413.8,376,3813.6,189,3712,154,3380,338
4682.7,206,3476.4,445,3314.4,477,4312.6,157,6449.6,378,3845.8,192,3743.7,156,3414.8,340
4714.7,209,3511.7,447,3350.1,480,4344.8,160,6481.4,379,3882.1,195,3780.8,159,3443.5,342
4746.8,212,3543.8,450,3382.9,484,4380.5,163,6517,383,3913.5,198,3812.4,162,3480,346
4782.5,216,3577.7,455,3415.6,488,4412.9,167,6549.3,387,3958.6,202,3847.1,166,3511.5,350
4814.8,221,3611.3,459,3450.2,493,4445.9,171,6581.4,391,3981.6,208,3876.5,171,3543.5,354
4846.8,227,3643.8,464,3482.8,499,4480.7,176,6614.1,396,4013.6,213,3912.2,176,3579.3,360
4882.5,234,3675.8,471,3514.7,506,4512.7,182,6649.4,402,4045.8,219,3943.8,182,3611.6,365
4914.6,241,3711.3,477,3550.7,513,4546.8,188,6681.4,408,4081.6,226,3976,189,3643.2,372
4946.5,248,3743.8,484,3582,522,4580.6,196,6713.6,415,4113.5,234,4011.5,196,3679.4,380
4982.5,256,3775.8,492,3614.7,530,4612.6,204,6749.6,423,4145.7,242,4045,204,3711.1,388
5014.4,265,3811.4,502,3650.4,540,4644.7,213,6781.9,432,4181.5,251,4075.9,213,3743.7,397
5047,274,3843.5,511,3682.3,551,4680.4,222,6816.9,441,4213.6,261,4111.7,223,3779.4,407
5082.8,285,3875.4,522,3715,561,4712.7,232,6849.3,451,4245.6,271,4144.1,233,3811.6,417
5115,296,3911.1,533,3750.3,574,4747.4,242,6882.8,462,4281.8,282,4175.7,243,3843.8,428
5146.8,308,3944.1,545,3782.1,586,4781.6,254,6913.6,474,4313.5,294,4211.8,255,3879.4,440
5214.5,333,3976.3,558,3814.3,600,4812.6,265,6949.6,486,4345.7,306,4243.7,267,3911.2,453
5247.1,346,4011.5,571,3850.1,615,4844.7,278,6981.6,499,4382.2,320,4277.1,280,3943.3,465
5284.9,361,4043.6,585,3882.3,630,4880.5,292,7013.7,512,4413.5,333,4311.9,293,3979.2,479
5314.6,376,4075.6,600,3914.6,646,4913.9,306,7049.6,527,4445.6,348,4343.9,308,4011.1,494
5346.5,392,4111.4,616,3950.3,663,4946.3,321,7081.4,543,4481.5,363,4376.1,322,4044.5,509
5414.1,426,4143.5,633,3984.6,680,4980.5,336,7113.5,559,4513.5,379,4411.6,338,4080.1,525
5447.1,445,4175.5,650,4014.4,700,5012.7,352,7149.8,577,4545.5,396,4443.7,354,4112.1,543
5482.4,463,4211.1,669,4050.1,719,5044.8,369,7181.5,593,4581.7,413,4475.7,371,4143.7,560
5515.1,483,4243.8,688,4082.2,740,5081.4,387,7213.5,613,4615.5,431,4511.8,389,4179.1,579
5546.9,503,4283.7,709,4114.4,761,5113,405,7249.2,632,4645.4,451,4544.7,407,4211.4,598
5582.4,524,4311.4,730,4150,783,5147.2,425,7282.7,653,4681.8,471,4577.1,426,4243.3,618
5614.8,546,4345.5,751,4183.1,807,5180.4,444,7313.9,674,4713.8,491,4612.1,446,4278.9,639
5646.9,569,4375.8,774,4214.8,831,5212.3,465,7349.6,697,4745.5,512,4644,467,4311,661
5683.1,593,4411.4,798,4250,856,5245,486,7381.8,720,4781.5,534,4676.1,489,4343.5,684
5718.8,617,4443.7,823,4282.2,882,5280.5,509,7418.3,744,4828.4,556,4711.8,511,4379.2,707
5746.7,642,4475.6,849,4315.2,909,5312.5,531,7454,769,4846.8,580,4744.3,534,4411,733
5782.3,668,4511.3,875,4350.5,937,5345.2,556,7489.2,794,4881.6,604,4777.1,558,4443.4,757
5815,695,4543.9,903,4382.3,948,5380.4,580,7513.4,821,4913.4,629,4811.7,582,4479.5,784
5846.8,723,4575.9,932,,,5412.6,605,7549.3,849,4947.7,655,4843.7,608,4512.1,811
5882.3,751,4611.4,960,,,5447.4,631,7582.7,877,4981.6,682,4875.7,634,4543.8,839
5914.7,781,4643.4,,,,5480.6,659,7618.7,907,5014.4,710,4911.5,661,4579.5,869
5946.6,812,4675.4,,,,5512.8,687,7649.4,938,5045.9,739,4943.7,689,4611.2,900
5982.8,843,4711.4,,,,5545.8,716,7682.1,946,5081.9,768,4977.1,718,4644.2,930
6014.8,875,4744.5,,,,5580.5,745,,,5113.7,799,5011.8,747,4680,958
6046.7,908,4776.4,,,,5613.1,776,,,5145.5,830,5044.7,778,,
6082.8,942,4812.2,,,,5647.2,807,,,5181.4,863,5077.1,809,,
6114.8,962,4844.2,,,,5680.4,840,,,5213.4,897,5112.1,843,,
6147.1,,4875.5,,,,5720.1,874,,,5245.7,931,5144.6,876,,
6182.8,,4911.5,,,,5744.7,909,,,5281.7,950,5178.2,911,,
6215,,4943.5,,,,5781.2,944,,,,,5212.8,946,,
,,,,,,,,,,,,5245.1,952,,
