frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,88,471,,,,,,,,,,,,,,,
1,131.8,6,718,880,,,,,,,,,,,,,,,,,,,,,,,,,49,507,290,,,,,,,,,,,,,,,
2,243.2,8,749,876,,,,,,,,,,,,,,,,,,,,,,,,,43,503,861,,,,,,,,,,,,,,,
3,263.7,5,768,895,,,,,,,,,,,,,,,,,,,,,,,,,25,92,49,,,,,,,,,,,,,,,
4,293.0,7,720,883,,,,,,,,,,,,,,,,,,,,,,,,,46,823,738,,,,,,,,,,,,,,,
5,293.0,,,,,,,,,,9,673,891,,,,,,,9,836,884,,,,,,,,,,,,,,,,8,827,721,,,,,,
6,301.2,,,,,,,,,,9,672,891,,,,,,,9,836,884,,,,,,,,,,,,,,,,7,828,720,,,,,,
7,332.5,,,,,,,,,,9,672,891,,,,,,,9,837,884,,,,,,,,,,,,,,,,8,827,720,,,,,,
8,332.5,,,,,,,,,,9,672,891,,,,,,,8,836,884,,,,,,,,,,,,,,,,8,827,720,,,,,,
9,349.7,,,,,,,,,,9,672,891,,,,,,,8,837,884,,,,,,,,,,,,,,,,7,827,721,,,,,,
10,349.7,,,,,,,,,,9,672,891,,,,,,,8,837,884,,,,,,,,,,,,,,,,8,827,721,,,,,,
11,381.5,,,,,,,,,,9,673,891,,,,,,,8,837,884,,,,,,,,,,,,,,,,7,827,721,,,,,,
12,413.4,,,,,,,,,,9,672,891,,,,,,,8,837,884,,,,,,,,,,,,,,,,7,827,720,,,,,,
13,481.7,,,,,,,,,,9,673,892,,,,,,,8,837,884,,,,,,,,,,,,,,,,8,827,721,,,,,,
14,513.5,,,,,,,,,,9,673,892,,,,,,,8,837,884,,,,,,,,,,,,,,,,8,826,720,,,,,,
15,549.6,,,,,,,,,,9,672,892,,,,,,,8,837,884,,,,,,,,,,,,,,,,8,826,720,,,,,,
16,581.4,,,,,,,,,,9,672,892,,,,,,,8,837,884,,,,,,,,,,,,,,,,7,825,721,,,,,,
17,613.6,,,,,,,,,,9,672,892,,,,,,,8,836,883,,,,,,,,,,,,,,,,7,825,720,,,,,,
18,649.4,,,,,,,,,,9,672,892,,,,,,,8,836,883,,,,,,,,,,,,,,,,8,824,720,,,,,,
19,684.3,,,,,,,,,,9,671,892,,,,,,,8,835,883,,,,,,,,,,,,,,,,8,824,720,,,,,,
20,714.5,,,,,,,,,,9,671,892,,,,,,,8,835,883,,,,,,,,,,,,,,,,8,823,719,,,,,,
21,749.8,,,,,,,,,,9,671,893,,,,,,,8,835,883,,,,,,,,,,,,,,,,8,822,720,,,,,,
22,781.8,,,,,,,,,,9,671,893,,,,,,,8,835,883,,,,,,,,,,,,,,,,8,821,719,,,,,,
23,813.5,,,,,,,,,,9,671,894,,,,,,,9,835,882,,,,,,,,,,,,,,,,8,821,719,,,,,,
24,849.4,,,,,,,,,,9,671,894,,,,,,,8,835,882,,,,,,,,,,,,,,,,8,820,719,,,,,,
25,881.7,,,,,,,,,,9,671,895,,,,,,,8,835,882,,,,,,,,,,,,,,,,8,819,718,,,,,,
26,914.6,,,,,,,,,,9,672,895,,,,,,,8,836,881,,,,,,,,,,,,,,,,8,819,718,,,,,,
27,949.7,,,,,,,,,,9,671,895,,,,,,,8,835,881,,,,,,,,,,,,,,,,8,818,718,,,,,,
28,981.5,,,,,,,,,,9,671,896,,,,,,,8,834,881,,,,,,,,,,,,,,,,8,817,718,,,,,,
29,1014.0,,,,,,,,,,9,671,897,,,,,,,8,834,881,,,,,,,,,,,,,,,,7,817,718,,,,,,
30,1049.6,,,,,,,,,,9,671,897,,,,,,,9,835,881,,,,,,,,,,,,,,,,7,816,718,,,,,,
31,1081.6,,,,,,,,,,9,671,898,,,,,,,8,835,882,,,,,,,,,,,,,,,,7,816,718,,,,,,
32,1113.7,,,,,,,,,,9,671,898,,,,,,,8,835,882,,,,,,,,,,,,,,,,7,815,718,,,,,,
33,1149.7,,,,,,,,,,9,671,899,,,,,,,8,835,883,,,,,,,,,,,,,,,,7,815,719,,,,,,
34,1185.8,,,,,,,,,,9,670,899,,,,,,,8,834,882,,,,,,,,,,,,,,,,8,815,720,,,,,,
35,1224.9,,,,,,,,,,9,671,900,,,,,,,8,834,883,,,,,,,,,,,,,,,,7,814,720,,,,,,
36,1251.4,,,,,,,,,,9,670,900,,,,,,,8,834,883,,,,,,,,,,,,,,,,7,814,720,,,,,,
37,1288.4,,,,,,,,,,9,670,901,,,,,,,8,834,884,,,,,,,,,,,,,,,,7,814,721,,,,,,
38,1313.9,,,,,,,,,,9,670,901,,,,,,,8,833,883,,,,,,,,,,,,,,,,8,813,721,,,,,,
39,1349.7,,,,,,,,,,9,669,901,,,,,,,8,833,884,,,,,,,,,,,,,,,,8,813,721,,,,,,
40,1384.2,,,,,,,,,,9,669,901,,,,,,,8,832,884,,,,,,,,,,,,,,,,7,812,721,,,,,,
41,1420.7,,,,,,,,,,9,668,901,,,,,,,8,832,884,,,,,,,,,,,,,,,,7,812,721,,,,,,
42,1452.9,,,,,,,,,,9,668,902,,,,,,,8,832,885,,,,,,,,,,,,,,,,7,811,721,,,,,,
43,1481.8,,,,,,,,,,9,667,902,,,,,,,8,831,885,,,,,,,,,,,,,,,,7,811,722,,,,,,
44,1524.6,,,,,,,,,,9,667,903,,,,,,,8,831,885,,,,,,,,,,,,,,,,7,811,722,,,,,,
45,1555.1,,,,,,,,,,9,667,903,,,,,,,8,830,886,,,,,,,,,,,,,,,,7,811,723,,,,,,
46,1582.2,,,,,,,,,,9,667,904,,,,,,,8,830,886,,,,,,,,,,,,,,,,7,810,723,,,,,,
47,1614.1,,,,,,,,,,9,666,904,,,,,,,9,830,887,,,,,,,,,,,,,,,,7,810,724,,,,,,
48,1649.8,,,,,,,,,,9,666,905,,,,,,,8,830,888,,,,,,,,,,,,,,,,7,809,724,,,,,,
49,1681.6,,,,,,,,,,9,665,906,,,,,,,8,829,889,,,,,,,,,,,,,,,,8,809,725,,,,,,
50,1713.7,,,,,,,,,,9,665,907,,,,,,,8,829,890,,,,,,,,,,,,,,,,8,809,726,,,,,,
51,1749.4,,,,,,,,,,9,665,908,,,,,,,8,829,891,,,,,,,,,,,,,,,,7,809,727,,,,,,
52,1781.6,,,,,,,,,,9,665,909,,,,,,,8,829,891,,,,,,,,,,,,,,,,7,808,728,,,,,,
53,1814.0,,,,,,,,,,9,665,911,,,,,,,8,828,893,,,,,,,,,,,,,,,,7,808,730,,,,,,
54,1849.6,,,,,,,,,,9,665,912,,,,,,,9,828,895,,,,,,,,,,,,,,,,7,808,731,,,,,,
55,1881.9,,,,,,,,,,9,665,914,,,,,,,8,828,896,,,,,,,,,,,,,,,,7,808,733,,,,,,
56,1913.7,,,,,,,,,,9,665,916,,,,,,,8,828,897,,,,,,,,,,,,,,,,7,808,734,,,,,,
57,1949.7,,,,,,,,,,9,665,917,,,,,,,8,828,899,,,,,,,,,,,,,,,,8,807,736,,,,,,
58,1981.8,,,,,,,,,,9,664,920,,,,,,,8,828,901,,,,,,,,,,,,,,,,7,807,738,,,,,,
59,2013.9,,,,,,,,,,9,665,922,,,,,,,8,828,903,,,,,,,,,,,,,,,,8,807,740,,,,,,
60,2049.4,,,,,,,,,,9,665,924,,,,,,,8,828,906,,,,,,,,,,,,,,,,7,807,742,,,,,,
61,2081.7,,,,,,,,,,9,664,926,,,,,,,8,828,907,,,,,,,,,,,,,,,,7,807,745,,,,,,
62,2114.4,,,,,,,,,,9,664,929,,,,,,,8,828,910,,,,,,,,,,,,,,,,7,807,747,,,,,,
63,2149.8,,,,,,,,,,9,665,931,,,,,,,8,828,912,,,,,,,,,,,,,,,,7,807,749,,,,,,
64,2184.6,,,,,,,,,,9,665,934,,,,,,,8,829,915,,,,,,,,,,,,,,,,8,807,752,,,,,,
65,2213.8,,,,,,,,,,9,665,937,,,,,,,9,829,918,,,,,,,,,,,,,,,,8,807,754,,,,,,
66,2250.0,,,,,,,,,,9,665,940,,,,,,,8,828,921,,,,,,,,,,,,,,,,7,807,757,,,,,,
67,2282.1,,,,,,,,,,9,665,943,,,,,,,8,829,924,,,,,,,,,,,,,,,,8,807,760,,,,,,
